x,y
0,0.000000
1,0.276988
2,1.377078
3,2.979175
4,4.192908
5,6.827037
6,9.487636
7,15.542805
8,21.223617
9,25.101591
10,26.483066
11,32.587210
12,36.942665
13,47.278833
14,50.039885
15,66.954175
16,86.505760
17,82.948196
18,84.026552
19,102.032009
20,136.119009
21,119.183098
22,137.449574
23,169.297690
24,161.314192
25,184.739438
26,170.615887
27,257.509147
28,221.367414
29,288.292267
30,257.943811
31,345.928905
32,302.029039
33,304.067391
34,407.831966
35,342.231452
36,364.464921
37,410.049981
38,451.087729
39,401.599650
40,444.995349
41,420.284261
42,625.968191
43,610.303249
44,546.224281
45,645.427660
46,700.724110
47,649.151393
48,804.520870
49,814.980407
